Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,narrative_length,word_count,cleaned_narrative
2025-05-16,Credit card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,"On XX/XX/year>, I was notified by email that Citi had unilaterally reduced the credit limits on two of my accounts ( ending in XXXX and XXXX ), without prior notice. At the time, no "" Notices and Letters '' were visible in my account, nor was any mailed or posted correspondence available as of that date. 

Only after submitting a formal CFPB complaint ( Case # XXXX ) did Citi upload two notices dated XX/XX/year>, which were not received until XX/XX/XXXX, XXXX the limit reduction had already taken effect. This backdating raises concerns of post-action documentation to cover an already executed change and misleads regulators and the customer into believing timely notice was provided when it was not. 

This sequence constitutes deceptive or misleading communication regarding a major account change that materially impacted my credit utilization and score. The misleading nature of the documents and notification timing violates the spirit of transparency, potentially skirting regulatory obligations under the CARD Act or other fair lending principles.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",WI,535XX,Servicemember,Consent provided,Web,2025-05-16,Closed with explanation,Yes,,13551350,1060,165,"on xxxxyear, i was notified by email that citi had unilaterally reduced the credit limits on two of my accounts  ending in xxxx and xxxx , without prior notice. at the time, no  notices and letters  were visible in my account, nor was any mailed or posted correspondence available as of that date. only after submitting a formal complaint  case  xxxx  did citi upload two notices dated xxxxyear, which were not received until xxxxxxxx, xxxx the limit reduction had already taken effect. this backdating raises concerns of postaction documentation to cover an already executed change and misleads regulators and the customer into believing timely notice was provided when it was not. this sequence constitutes deceptive or misleading communication regarding a major account change that materially impacted my credit utilization and score. the misleading nature of the documents and notification timing violates the spirit of transparency, potentially skirting regulatory obligations under the card act or other fair lending principles."
2025-04-13,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"I opened a Capital One Quicksilver credit card on XX/XX/XXXX, with a {$1000.00} limit. A few months later, around XXXX XXXX, I was approved for a Capital One Walmart card with a {$2000.00} limit. Over the next 4 years and 6 months, I maintained a very good to excellent credit score, never missed a payment, and consistently used both cards responsibly. 

In all that time, Capital One only increased my total credit limit by a measly $ XXXX shockingly low and frankly insulting gesture. In comparison, my XXXX  XXXX XXXX card, which I opened around the same time with a {$1000.00} limit, has since been increased to {$8000.00}. Thats a {$7000.00} difference, showing that other companies recognized and rewarded my responsible behaviorCapital One did not. 

To make matters worse, the Walmart card was frequently glitchy, and neither card consistently honored the advertised rewards. Although rewards were not my primary concern, the lack of growth, lack of transparency, and lack of basic customer appreciation made the experience feel like a long, frustrating punishment for being a responsible customer. 

On XX/XX/XXXX, I finally decided to close both accounts out of disappointment. Unfortunately, that closure had a negative impact on my credit scoreadding insult to injury after nearly five years of loyalty that was never reciprocated.",,CAPITAL ONE FINANCIAL CORPORATION,OR,97124,,Consent provided,Web,2025-04-13,Closed with explanation,Yes,,12959982,1344,213,"i opened a capital one quicksilver credit card on xxxxxxxx, with a 1000.00 limit. a few months later, around xxxx xxxx, i was approved for a capital one walmart card with a 2000.00 limit. over the next 4 years and 6 months, i maintained a very good to excellent credit score, never missed a payment, and consistently used both cards responsibly. in all that time, capital one only increased my total credit limit by a measly  xxxx shockingly low and frankly insulting gesture. in comparison, my xxxx xxxx xxxx card, which i opened around the same time with a 1000.00 limit, has since been increased to 8000.00. thats a 7000.00 difference, showing that other companies recognized and rewarded my responsible behaviorcapital one did not. to make matters worse, the walmart card was frequently glitchy, and neither card consistently honored the advertised rewards. although rewards were not my primary concern, the lack of growth, lack of transparency, and lack of basic customer appreciation made the experience feel like a long, frustrating punishment for being a responsible customer. on xxxxxxxx, i finally decided to close both accounts out of disappointment. unfortunately, that closure had a negative impact on my credit scoreadding insult to injury after nearly five years of loyalty that was never reciprocated."
2025-02-23,Credit card,Store credit card,Problem when making payments,You never received your bill or did not know a payment was due,"Iam writing to formally dispute a late payment entry on my credit card TJX rewards card number XXXX account which I believe has been reported in error. 

On XX/XX/year> sent a XXXX dollars payment on line however I recently checked my credit report and notice that my payment was marked late. Upon reviewing my records, I recalled that the bank representative who assisted me with the payment neglected to provide me with receipt. At the time, I trusted that the transaction had been processed correctly. Now due to this report error, my credit score has been negatively impacted. 
I would appreciate your prompt attention to this matter, as this incorrect reporting is unfairly affecting my creditworthiness. Please let me know if you require any addtional information to facilitate this correction. 

Thank you for your time and assistance",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,TX,75154,,Consent provided,Web,2025-02-23,Closed with explanation,Yes,,12177505,841,137,"iam writing to formally dispute a late payment entry on my credit card tjx rewards card number xxxx account which i believe has been reported in error. on xxxxyear sent a xxxx dollars payment on line however i recently checked my credit report and notice that my payment was marked late. upon reviewing my records, i recalled that the bank representative who assisted me with the payment neglected to provide me with receipt. at the time, i trusted that the transaction had been processed correctly. now due to this report error, my credit score has been negatively impacted. i would appreciate your prompt attention to this matter, as this incorrect reporting is unfairly affecting my creditworthiness. please let me know if you require any addtional information to facilitate this correction. thank you for your time and assistance"
2025-06-14,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,"We called Citi Bank Customer Service on XX/XX/year> to question a late fee ( {$30.00} ) and an interest charge on our account ( {$3.00} ), as we always pay on time. The bill was due XX/XX/year> on a Saturday, and we were told the payment was on XX/XX/year>, the Sunday after. We asked to be given an adjustment of those financial charges, but were declined. Instead, our account was closed after a heated conversation, and the manager did not disclose to us what was going to happen to our accumulated Cash Back Rewards of {$26.00}, which turned out to be confiscated.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MA,024XX,,Consent provided,Web,2025-06-14,Closed with monetary relief,Yes,,14060912,568,102,"we called citi bank customer service on xxxxyear to question a late fee  30.00  and an interest charge on our account  3.00 , as we always pay on time. the bill was due xxxxyear on a saturday, and we were told the payment was on xxxxyear, the sunday after. we asked to be given an adjustment of those financial charges, but were declined. instead, our account was closed after a heated conversation, and the manager did not disclose to us what was going to happen to our accumulated cash back rewards of 26.00, which turned out to be confiscated."
2025-06-05,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,my card ending XXXX did not go through twice - 1st time during my internal trip and the second time in XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX and Citi Reference Number : XXXX,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,75080,,Consent provided,Web,2025-06-05,Closed with non-monetary relief,Yes,,13919111,195,39,my card ending xxxx did not go through twice  1st time during my internal trip and the second time in xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx and citi reference number  xxxx
2025-06-04,Credit card,General-purpose credit card or charge card,Trouble using your card,Can't use card to make purchases,"I tried to use my Citi Card to pay for a car repair. The card was denied - I have the receipt. NO EXPLANATION, no text from the bank - just DECLINE. 
I used a different card from a different bank and had no problem. 
I called Citi Card and they had NO EXPLANATION for why this happened. They also claimed the vendor tried multiple times to put the card through, this is untrue. 
Very embarrassing and worrisome to me as I wondered if something was wrong. 
Credit card companies and banks have enormous power and consumers are left with situations like this. They should be REQUIRED to let you know at the Point of Sale what the problem is.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,90025,Older American,Consent provided,Web,2025-06-04,Closed with explanation,Yes,,13891123,639,120,"i tried to use my citi card to pay for a car repair. the card was denied  i have the receipt. no explanation, no text from the bank  just decline. i used a different card from a different bank and had no problem. i called citi card and they had no explanation for why this happened. they also claimed the vendor tried multiple times to put the card through, this is untrue. very embarrassing and worrisome to me as i wondered if something was wrong. credit card companies and banks have enormous power and consumers are left with situations like this. they should be required to let you know at the point of sale what the problem is."
2025-06-03,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Problem with customer service,"I recieved a pre approved card in the mail i activated the card the card was lost/stolen the card was used and maxed out i got a notification that the balance was maxed out i called to close card and report theft The company ( XXXX  ) told me that becuase i called and activated the card a week or so prior to the theft they wouldnt investigate the theft or provide details i never used the card once. They wont do anything about it and are charging me crazy fees for not paying the balance that the thief left on the card. 

Its punitive and against my rights as a consumer. 

I do not have the card number as it was stolen from me.",Company believes it acted appropriately as authorized by contract or law,Atlanticus Services Corporation,NY,11706,Servicemember,Consent provided,Web,2025-06-03,Closed with monetary relief,Yes,,13859509,633,125,i recieved a pre approved card in the mail i activated the card the card was loststolen the card was used and maxed out i got a notification that the balance was maxed out i called to close card and report theft the company  xxxx  told me that becuase i called and activated the card a week or so prior to the theft they wouldnt investigate the theft or provide details i never used the card once. they wont do anything about it and are charging me crazy fees for not paying the balance that the thief left on the card. its punitive and against my rights as a consumer. i do not have the card number as it was stolen from me.
2025-06-03,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Case ID : XXXX Case : XXXX Case : XXXX Re : Fraudulent XXXX Charges : XX/XX/year> = {$96.00} XX/XX/year> = {$160.00} XX/XX/year> = XXXX I did not make any of the above charges and I did not authorize anyone to make these charges. 

There was some kind of intricate scam going on at this time involving my credit card ending in XXXX. On XX/XX/year>, XX/XX/year>, and XX/XX/year>, I had received 3 separate deliveries from my local XXXX store. Each package contained a bag of balloons that I had not ordered. I was especially concerned about this because my name was clearly on each package as though I ordered it. I called XXXX 's customer service and the rep looked up my XXXX account and informed me that there were no such charges on my account. He could not explain why I received the packages and told me not to worry about it because no such orders were on my account. 
See attached photo for reference. 

During this same time, ( not sure if this had anything to do with the above ) I received XXXX small yellow packages from an unknown sender on different days. I only opened the first received package which was a letter that was very vague thanking me for a purchase but not indicating what the purchase was or from whom. I knew it was another scam and assumed it was connected to the XXXX balloons somehow. I think this scammer was hoping I would scan the "" QR '' code on the front of the package to try to figure out who it was from but I declined to do that to avoid going deeper into their scam. Again, I am not sure if this scam is connected to the XXXX scam or just a big coincidence. 
See attached 2 photos for reference.

I am reiterating, I did not make any of the above 3 XXXX purchases. 

On XX/XX/year>, I received a letter regarding Citicard Master Card 's investigation of my above disputes and they included the Merchant 's ( XXXX ) documentation which XXXX claim proves I made the transaction. If a person with any common sense would review this documentation, they would see that the email address and name on the account is NOT mine, the IP address is located somewhere in Georgia ( out of state ) and the contact and telephone information are NOT mine. In addition, it actually says on these documents, that the orders were never fulfilled due to inventory issues and the XXXX merchant is foreign and suspicious since XXXX is claiming this was a local store delivery! 
I DID NOT MAKE THE ABOVE 3 PURCHASES AND REFUSE TO PAY FOR SOMETHING THAT I DID NOT PURCHASE. I DO NOT WANT A CREDIT CARD FROM A COMPANY THAT HAS ABSOLUTELY NO COMMON SENSE.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",VA,229XX,,Consent provided,Web,2025-06-03,Closed with monetary relief,Yes,,13872488,2570,476,"case id  xxxx case  xxxx case  xxxx re  fraudulent xxxx charges  xxxxyear  96.00 xxxxyear  160.00 xxxxyear  xxxx i did not make any of the above charges and i did not authorize anyone to make these charges. there was some kind of intricate scam going on at this time involving my credit card ending in xxxx. on xxxxyear, xxxxyear, and xxxxyear, i had received 3 separate deliveries from my local xxxx store. each package contained a bag of balloons that i had not ordered. i was especially concerned about this because my name was clearly on each package as though i ordered it. i called xxxx s customer service and the rep looked up my xxxx account and informed me that there were no such charges on my account. he could not explain why i received the packages and told me not to worry about it because no such orders were on my account. see attached photo for reference. during this same time,  not sure if this had anything to do with the above  i received xxxx small yellow packages from an unknown sender on different days. i only opened the first received package which was a letter that was very vague thanking me for a purchase but not indicating what the purchase was or from whom. i knew it was another scam and assumed it was connected to the xxxx balloons somehow. i think this scammer was hoping i would scan the  qr  code on the front of the package to try to figure out who it was from but i declined to do that to avoid going deeper into their scam. again, i am not sure if this scam is connected to the xxxx scam or just a big coincidence. see attached 2 photos for reference. i am reiterating, i did not make any of the above 3 xxxx purchases. on xxxxyear, i received a letter regarding citicard master card s investigation of my above disputes and they included the merchant s  xxxx  documentation which xxxx claim proves i made the transaction. if a person with any common sense would review this documentation, they would see that the email address and name on the account is not mine, the ip address is located somewhere in georgia  out of state  and the contact and telephone information are not mine. in addition, it actually says on these documents, that the orders were never fulfilled due to inventory issues and the xxxx merchant is foreign and suspicious since xxxx is claiming this was a local store delivery! i did not make the above 3 purchases and refuse to pay for something that i did not purchase. i do not want a credit card from a company that has absolutely no common sense."
2025-06-02,Credit card,General-purpose credit card or charge card,Struggling to pay your bill,Filed for bankruptcy,"On XX/XX/year> I filed a complaint against Citibank Visa and they responded on XXXX XXXX stating that they had issued a credit to my account however the account that they issued the credit to is also closed resulting in XXXX being unable to process a refund they have deliberately done this knowing that that account has been closed claiming that there is a balanced due on this there is a bankruptcy discharge on this account so there should be a XXXX balance. 
See file number XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",WA,98902,,Consent provided,Web,2025-06-02,Closed with explanation,Yes,,13847205,483,86,on xxxxyear i filed a complaint against citibank visa and they responded on xxxx xxxx stating that they had issued a credit to my account however the account that they issued the credit to is also closed resulting in xxxx being unable to process a refund they have deliberately done this knowing that that account has been closed claiming that there is a balanced due on this there is a bankruptcy discharge on this account so there should be a xxxx balance. see file number xxxx
2025-06-02,Credit card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,"I was charged interest on regular purchases while my payments were going toward a promotional balance. The system made it difficult to track, and I was not clearly notified. I request an interest adjustment as I was unaware of the payment application policy.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",WA,981XX,,Consent provided,Web,2025-06-02,Closed with monetary relief,Yes,,13845898,258,43,"i was charged interest on regular purchases while my payments were going toward a promotional balance. the system made it difficult to track, and i was not clearly notified. i request an interest adjustment as i was unaware of the payment application policy."
2025-06-02,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Two transactions were done through Citi bank and we have proven that two transactions were done as fraud. We were buying into XXXX XXXX  for them to take over our existing timeshare. 

First amount of {$1200.00} to XXXX XXXX partial payment in lue of taking over our XXXX XXXX  times share, which is located in XXXX XXXX Nevada. Case id XXXX .The second payment being {$6300.00} Case Id XXXX. 

We signed the equity value agreement XX/XX/XXXX and nothing had been done, I reached out to them to ask if the transfer in ownership of XXXX XXXX had been completed. They then sent us a new equity value agreement dated XX/XX/XXXX to sign with terms that we had not agreed to. They sent it via text message. We called the XXXX XXXX  to confirm if anything had been sent to them regarding the tranfer. They said no. I then requested the refund from citi bank due to fraud. We sent all the paper work to citi bank to prove this 3 seperate times via mail and email. They denied both refunds.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,92545,,Consent provided,Web,2025-06-02,Closed with non-monetary relief,Yes,,13848429,982,180,"two transactions were done through citi bank and we have proven that two transactions were done as fraud. we were buying into xxxx xxxx for them to take over our existing timeshare. first amount of 1200.00 to xxxx xxxx partial payment in lue of taking over our xxxx xxxx times share, which is located in xxxx xxxx nevada. case id xxxx .the second payment being 6300.00 case id xxxx. we signed the equity value agreement xxxxxxxx and nothing had been done, i reached out to them to ask if the transfer in ownership of xxxx xxxx had been completed. they then sent us a new equity value agreement dated xxxxxxxx to sign with terms that we had not agreed to. they sent it via text message. we called the xxxx xxxx to confirm if anything had been sent to them regarding the tranfer. they said no. i then requested the refund from citi bank due to fraud. we sent all the paper work to citi bank to prove this 3 seperate times via mail and email. they denied both refunds."
2025-05-14,Credit card,General-purpose credit card or charge card,Problem when making payments,You never received your bill or did not know a payment was due,AS I STATED I KEEP SENDING LETTERS AND ASKING FOR PAPER STATEMENTS BECAUSE I HAVE NO ACCESS TO A COMPUTER AND STILL THEY SEND NOTHING EVEN TALKED WITH AN ATTORNEY AND HE TOLD ME TO STOP SENSING MONEY BECAUSE I DONT KNOW WHO IS RECEIVING THE FUNDS,Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,UT,84403,,Consent provided,Web,2025-05-14,Closed with explanation,Yes,,13505254,246,47,as i stated i keep sending letters and asking for paper statements because i have no access to a computer and still they send nothing even talked with an attorney and he told me to stop sensing money because i dont know who is receiving the funds
2025-05-31,Credit card,General-purpose credit card or charge card,Problem when making payments,Problem during payment process,"Citibank complaint. 
On XX/XX/XXXX, an official bank check was mailed to Citi Cards ; XXXX XXXX XXXX ; XXXX, PA XXXX as payment in full on my account, the address on the credit card statement ( See attachment #! ). On XX/XX/XXXX, the check was not applied against my account, so I mailed attachment # 1 to Citibank Express Payments ; XXXX XXXX XXXXXXXX XXXX XXXX XXXX, XXXX XXXX ; XXXX, KY XXXX, the address I found on Citi Bank 's website. On XXXX, I found the check was STILL not applied to my account, so I sent attachment # 2 to the Citibank Express Payments address! As of XX/XX/XXXX, the payment remails unapplied, so I am sending this complaint.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MD,21801,Older American,Consent provided,Web,2025-05-31,Closed with explanation,Yes,,13818723,652,120,"citibank complaint. on xxxxxxxx, an official bank check was mailed to citi cards  xxxx xxxx xxxx  xxxx, pa xxxx as payment in full on my account, the address on the credit card statement  see attachment ! . on xxxxxxxx, the check was not applied against my account, so i mailed attachment  1 to citibank express payments  xxxx xxxx xxxxxxxx xxxx xxxx xxxx, xxxx xxxx  xxxx, ky xxxx, the address i found on citi bank s website. on xxxx, i found the check was still not applied to my account, so i sent attachment  2 to the citibank express payments address! as of xxxxxxxx, the payment remails unapplied, so i am sending this complaint."
2025-06-13,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,"Several online and other transactions are acted using my citi-bank Master card before i even receiving the card. And couples of the account was open on my names and there was some transaction on it without my knowledge. As a result, I lost my credit core from XXXX 's to XXXX and this effect my fanatical situation.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",FL,33020,Older American,Consent provided,Web,2025-06-13,Closed with monetary relief,Yes,,14062030,315,57,"several online and other transactions are acted using my citibank master card before i even receiving the card. and couples of the account was open on my names and there was some transaction on it without my knowledge. as a result, i lost my credit core from xxxx s to xxxx and this effect my fanatical situation."
2025-05-27,Credit card,Store credit card,Fees or interest,Problem with fees,"I have XXXX credit card with US Bank. On XX/XX/year> I paid off all XXXX  accounts ( totaling {$29000.00} ) according to what their online system showed as the amount in full. The system does not indicate that additional interest maybe be owed. On account ending in XXXX, I paid {$4300.00}, on account ending in XXXX, I paid {$5000.00} and on account ending in XXXX, I paid {$4900.00}, the amounts showing as paid in full amounts. 

After their system zeroed out each account, on XX/XX/XXXX and thereafter each account appeared with a balances. Account ending in XXXX, a balance of XXXX billed, on account ending in XXXX, a balance of {$83.00} appeared and on account ending in XXXX a balance of {$64.00} appeared. 

There is no where on their pay system that it indicate the amounts showing is not the true payoff amount. I would like for US Bank to update their system to be precise with the amounts and maybe indicate a true payoff amount. I would also like for US Bank to write-off those amounts that appeared after payoff on my account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,OR,97217,Older American,Consent provided,Web,2025-05-27,Closed with explanation,Yes,,13738859,1041,184,"i have xxxx credit card with us bank. on xxxxyear i paid off all xxxx accounts  totaling 29000.00  according to what their online system showed as the amount in full. the system does not indicate that additional interest maybe be owed. on account ending in xxxx, i paid 4300.00, on account ending in xxxx, i paid 5000.00 and on account ending in xxxx, i paid 4900.00, the amounts showing as paid in full amounts. after their system zeroed out each account, on xxxxxxxx and thereafter each account appeared with a balances. account ending in xxxx, a balance of xxxx billed, on account ending in xxxx, a balance of 83.00 appeared and on account ending in xxxx a balance of 64.00 appeared. there is no where on their pay system that it indicate the amounts showing is not the true payoff amount. i would like for us bank to update their system to be precise with the amounts and maybe indicate a true payoff amount. i would also like for us bank to writeoff those amounts that appeared after payoff on my account."
2025-06-13,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,"I called to cancel my XXXX XXXX Citi XXXX on XX/XX/XXXX. I was told that the annual fee was not going to be charged at the end of XXXX. I was charged {$99.00} on XX/XX/XXXX. They promised to credit back my account. Citi credited {$82.00} in XXXX and claimed that they needed XXXX days to finalize conversion. Therefore, I had to pay for a partial fee during a time that I did not have the card with benefits. They never disclosed that a partial fee was going to be refunded.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",FL,33026,,Consent provided,Web,2025-06-13,Closed with monetary relief,Yes,,14063578,474,90,"i called to cancel my xxxx xxxx citi xxxx on xxxxxxxx. i was told that the annual fee was not going to be charged at the end of xxxx. i was charged 99.00 on xxxxxxxx. they promised to credit back my account. citi credited 82.00 in xxxx and claimed that they needed xxxx days to finalize conversion. therefore, i had to pay for a partial fee during a time that i did not have the card with benefits. they never disclosed that a partial fee was going to be refunded."
2025-02-20,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,"On XX/XX/year> I got an alert from XXXX XXXX that two capital one cards were opened under my name. I did let them know previously there was a credit report not alert not authorize by me. I told the capital one representative that I did not open any cards and I am reporting this as fraud. Someone is using my identity. They verified that information in there system is not my information. Representative told direct me to call capital one fraud department which I did. 
Representative advice me to call XXXX, XXXX  and XXXX and report this fraud. 
I called and file a dispute for each one.",,CAPITAL ONE FINANCIAL CORPORATION,CA,90280,,Consent provided,Web,2025-02-20,Closed with non-monetary relief,Yes,,12131106,589,107,"on xxxxyear i got an alert from xxxx xxxx that two capital one cards were opened under my name. i did let them know previously there was a credit report not alert not authorize by me. i told the capital one representative that i did not open any cards and i am reporting this as fraud. someone is using my identity. they verified that information in there system is not my information. representative told direct me to call capital one fraud department which i did. representative advice me to call xxxx, xxxx and xxxx and report this fraud. i called and file a dispute for each one."
2025-03-02,Credit card,General-purpose credit card or charge card,Fees or interest,Problem with fees,"Received a promotional rate of no interest 1 year from XXXX XXXX XXXX Synchrony Bank for a sofa purchase in XXXX. Paper statements initially, then an email noting a charge of {$2.00} for paper statements. So I opted for emails, which in the beginning were helpful but became a nuisance because they were overlooked with other junk emails I was unable to control. 
A paper statement was perfect- paid the bill the day I received it in the mail. 
The late fee charge is {$39.00} and a suspicious interest charge of {$2.00} monthly which has totaled now to {$150.00}. If I was getting paper statements, I would have seen the FIRST late fee and made a note of it to prevent any future ones. The email reminders do not state previous payments either which is also a problem. I called to speak with someone about removing the late fees and putting me back on paper statements- they said no and also stated the {$2.00} fee per statement remains in effect if that option is selected. 
The emails have never stated previous payments or late fees incurred. Seems like they want you to sign up for AUTO-PAY which I feel is a gimmick to have control over your bank account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,UT,84106,Older American,Consent provided,Web,2025-03-02,Closed with explanation,Yes,,12283681,1161,209,"received a promotional rate of no interest 1 year from xxxx xxxx xxxx synchrony bank for a sofa purchase in xxxx. paper statements initially, then an email noting a charge of 2.00 for paper statements. so i opted for emails, which in the beginning were helpful but became a nuisance because they were overlooked with other junk emails i was unable to control. a paper statement was perfect paid the bill the day i received it in the mail. the late fee charge is 39.00 and a suspicious interest charge of 2.00 monthly which has totaled now to 150.00. if i was getting paper statements, i would have seen the first late fee and made a note of it to prevent any future ones. the email reminders do not state previous payments either which is also a problem. i called to speak with someone about removing the late fees and putting me back on paper statements they said no and also stated the 2.00 fee per statement remains in effect if that option is selected. the emails have never stated previous payments or late fees incurred. seems like they want you to sign up for autopay which i feel is a gimmick to have control over your bank account."
2025-05-26,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,"I am extremely frustrated and disappointed with the way this situation has been handled. I submitted my payment on XX/XX/year>, and yet I wasnt informed until XXXXnearly two weeks laterthat the payment didnt go through. Even worse, I was only notified after the third attempt to process the payment. At no point before that was I contactedno email, no call, no notification whatsoever. That is completely unacceptable. 

The account I used to make the payment had more than enough funds, so there is absolutely no valid reason the payment should have failed. To make matters worse, this is apparently the second time this has happened, and instead of reaching out to me to resolve the issue, your team took the outrageous step of closing my account without notifying me. I found out my account was closed only when my card was declined and the Citi app informed me it had been shut down. Againno phone call, no email, no courtesy alert. 

I have always paid my balance in full or left only a minimal balance, and Ive never once failed to pay. To be treated like this despite a consistent history of responsible payment is absolutely unacceptable and shows a complete disregard for your customers. This situation needs to be addressed and resolved immediately.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,76134,,Consent provided,Web,2025-05-26,Closed with non-monetary relief,Yes,,13727604,1259,214,"i am extremely frustrated and disappointed with the way this situation has been handled. i submitted my payment on xxxxyear, and yet i wasnt informed until xxxxnearly two weeks laterthat the payment didnt go through. even worse, i was only notified after the third attempt to process the payment. at no point before that was i contactedno email, no call, no notification whatsoever. that is completely unacceptable. the account i used to make the payment had more than enough funds, so there is absolutely no valid reason the payment should have failed. to make matters worse, this is apparently the second time this has happened, and instead of reaching out to me to resolve the issue, your team took the outrageous step of closing my account without notifying me. i found out my account was closed only when my card was declined and the citi app informed me it had been shut down. againno phone call, no email, no courtesy alert. i have always paid my balance in full or left only a minimal balance, and ive never once failed to pay. to be treated like this despite a consistent history of responsible payment is absolutely unacceptable and shows a complete disregard for your customers. this situation needs to be addressed and resolved immediately."
2025-02-26,Credit card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,An authorized hard credit pull was done under my name and social security number with the following companies : XXXX XXXXXXXX XXXX XXXX XXXXXXXX XXXX XXXX and XXXX. I've called every XXXX of these lenders to request the documentation that they had that showed that I authorized the hard credit pull that occurred on XXXX. None of these lenders were able to provide me with documentation saying I approved this hard credit inquiry pull. XXXX XXXX XXXX XXXX that they saw an application and would proceed with a dispute. XXXX XXXX and XXXX on behalf XXXX XXXX stated that they did not have an application on file for me under my social security number even though it is currently showing on my credit report with XXXX as XXXX. XXXX has requested in order for me to remove these fraudulent hard credit pulls off my credit report I'd have to mail in documents from the FTC and CFPB for them to do the investigation. I'd also like to point out that these hackers even went as far as to create an online account with XXXX using my name and social security number so that when I tried to create an account under my social security number it was already attached to an email and phone number that HAD NO ASSOCIATION with me what so ever! Thankfully XXXX deleted the account and now I am taking all steps to secure my identity.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,WI,53225,,Consent provided,Web,2025-03-11,Closed with explanation,Yes,,12231424,1318,240,an authorized hard credit pull was done under my name and social security number with the following companies  xxxx xxxxxxxx xxxx xxxx xxxxxxxx xxxx xxxx and xxxx. ive called every xxxx of these lenders to request the documentation that they had that showed that i authorized the hard credit pull that occurred on xxxx. none of these lenders were able to provide me with documentation saying i approved this hard credit inquiry pull. xxxx xxxx xxxx xxxx that they saw an application and would proceed with a dispute. xxxx xxxx and xxxx on behalf xxxx xxxx stated that they did not have an application on file for me under my social security number even though it is currently showing on my credit report with xxxx as xxxx. xxxx has requested in order for me to remove these fraudulent hard credit pulls off my credit report id have to mail in documents from the ftc and for them to do the investigation. id also like to point out that these hackers even went as far as to create an online account with xxxx using my name and social security number so that when i tried to create an account under my social security number it was already attached to an email and phone number that had no association with me what so ever! thankfully xxxx deleted the account and now i am taking all steps to secure my identity.
2025-03-06,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,My information was heisted and this accounts are fraudulent and do not belong to me. I would like these accounts completely removed from all three credit bureaus on my credit report.,,"EQUIFAX, INC.",CA,95628,,Consent provided,Web,2025-03-06,Closed with explanation,Yes,,12347645,182,31,my information was heisted and this accounts are fraudulent and do not belong to me. i would like these accounts completely removed from all three credit bureaus on my credit report.
