chunk_text,metadata
"i signed up with the security provider, xxxx, a few months back after a roaming salesperson approached me at my home. i had been in the market for a security system so, the timing was right. the salesperson told me that they were going doortodoor in our area and if we had agreed to post their sign in our yard, xxxx would provide the equipment for free and that i would only be responsible for the 89.00 monitoring fee with them.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 11}"
"esponsible for the 89.00 monitoring fee with them. i have paid this amount regularly with only a short lapse when my debit card expired xxxxxxxx. once i received my new debit card, i immediately added it to my xxxx app so payments could continue. fast forward a couple of months and i started receiving calls from a number i did not recognize almost daily or sometimes multiple times daily.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 11}"
"ze almost daily or sometimes multiple times daily. i am not always in a position to answer the phone during the working day but, when i finally answered, i was told that i owed 290.00 to a financing company called xxxx, whom opened a retail credit card, charged to 4000.00 for the equipment i was told was free. i did not want another line of credit nor did i consent to financing. had that been the deal, i would have outright refused the offer and located a different security company.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 11}"
"he offer and located a different security company. i have since tried contacting them to resolve this issue and to completely close whatever it was i was signed up. each time ive spoken with a representative, i was asked for either a  my account number, which i do not have or b  the last 4digits of my social security number. when i verify the last 4digits of my social security number, i am told that the number they have on file does not match.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 11}"
"that the number they have on file does not match. i spoke with a representative from xxxx today, xxxxxxxx, and when i attempted to confirm the last 4digits of my social security number i was again told it does not match. the representative then asked me to scan or send a copy of my social security card, which i outright denied. the representative then gave me a separate number to call to try and resolve or dispute.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 4, ""total_chunks"": 11}"
"rate number to call to try and resolve or dispute. when i called that number, i was met with an automated prompt that asked, again, for either the last 4digits of my social security number or my account number, which is completely unknown to me. at this point, xxxx has also claimed to have placed a statement credit in the amount of 190.00 however, they are still attempting to bill me that same amount plus additional late fees.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 5, ""total_chunks"": 11}"
"ill me that same amount plus additional late fees. as a result, my credit rating is taking a hit do a delinquent account that i can not access or was completely unknown to me. on xxxxxxxx i received an email notice that i had scheduled a payment of 200.00, which was also not authorized nor did i consent to autopay terms with xxxx.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 6, ""total_chunks"": 11}"
"ized nor did i consent to autopay terms with xxxx. i expressly told them no, that i did not consent to them utilizing my debit card for automatic payment, especially since i had no idea who they were or what was going on. my account was not debited in the amount of 200.00 thankfully but apparently tacked on a bunch of late fees.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 7, ""total_chunks"": 11}"
"lly but apparently tacked on a bunch of late fees. had it been true that they credited me 190.00, i would then, in theory have owed 10.00 if this were an honest transaction  not 300.00, which is inclusive of the allegedly scheduled 200.00  late fees incurred.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 8, ""total_chunks"": 11}"
"he allegedly scheduled 200.00  late fees incurred. i utilize xxxx for additional monitoring and services and, after receiving a recent notice of delinquency alert from xxxx today, xxxxxxxx, i reviewed the notice and found that xxxx had marked my account open and closed multiple times as well as delinquent. i spoke with xxxx today, xxxxxxxx, and they were able to provide my xxxx account number.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 9, ""total_chunks"": 11}"
"they were able to provide my xxxx account number. xxxx, however, keeps giving me scripted responses and or is unable to help me because they cant find my account or verify it! i did not agree to financing nor did i ever provide a social security number to anyone or anywhere for that matter with the exception of when i recently renewed my passport. to the best of my knowledge, i certainly did not provide my ssn to a wandering salesperson.","{""complaint_id"": 66, ""product"": ""Credit card"", ""chunk_index"": 10, ""total_chunks"": 11}"
"i closed my capital one credit card account in early xxxxxxxx. on xxxxxxxx, my account was credited 15000.00 by a merchant for duplicate charges. since then, i have had to call in over xxxx times, and spent over xxxx hours on the phone trying to get a refund check for the credits issued by the merchant.","{""complaint_id"": 60, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 6}"
"fund check for the credits issued by the merchant. despite xxxx separate assurances from xxxx from capital one representatives that a negative balance refund check was processed and would arrive within xxxx business days, i have received no refund as of today xxxxxxxx, more than xxxx months after the credits were posted. on xxxxxxxx, i sent a formal demand letter requesting immediate refund of these funds.","{""complaint_id"": 60, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 6}"
"letter requesting immediate refund of these funds. on xxxxxxxx, instead of refunding my money, capital one sent a letter  case  xxxx  placing a temporary restriction on my accountan account that has been closed for over xxxx months. i have done everything i can to resolve this matter amicably with capital one prior to filing a federal lawsuit. i am filing this complaint to have further documentation for the xxxx in the event capital one continues to illegally withhold my funds.","{""complaint_id"": 60, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 6}"
"ital one continues to illegally withhold my funds. capital one has clearly violated the following federal laws  1. fair credit billing act  15 u.s.c. 1666 et seq. this federal law requires that creditors promptly refund credit balances. specifically, the fcba requires creditors to refund credit balances within seven business days of receiving a written request and to make a good faith effort to refund credit balances that have remained on an account for more than six months. 2.","{""complaint_id"": 60, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 6}"
"emained on an account for more than six months. 2. electronic fund transfer act  15 u.s.c. 1693 et seq. this federal law prohibits financial institutions from ignoring or delaying correction of billing errors. 3. unfair, deceptive, or abusive acts or practices under the consumer financial protection act repeatedly claiming refund checks were sent when they were not and placing a restriction on a closed account constitute misleading and deceptive business practices.","{""complaint_id"": 60, ""product"": ""Credit card"", ""chunk_index"": 4, ""total_chunks"": 6}"
itute misleading and deceptive business practices. i have also sent a copy of my complaint to the office of the comptroller of the currency.,"{""complaint_id"": 60, ""product"": ""Credit card"", ""chunk_index"": 5, ""total_chunks"": 6}"
"i attempted to make a large payment ahead of my due date xxxxyear. i had a preferred payment method saved and had plenty of money in my account to pay. the refused my payment  accepted xxxx previous payments with same payment method  told me i had to wire the funds but never informed me they would be holding my money for a week. this not only was misleading, it now caused a massive credit score decrease which will cost me a lot of money.","{""complaint_id"": 15, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 2}"
"score decrease which will cost me a lot of money. when attempting to get answers from citi, they are not being honest about the transaction or the fact they did not take my approved method. xxxx the supervisor also lied to me about resolving this situation, they claim no one can free up the money they received from me although an agent told me the opposite just yesterday.","{""complaint_id"": 15, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 2}"
i just had the worst experience ever with their customer service. this was my first time using the travel reward miles after having the xxxx card for several years. their capital one xxxx website listed the amount i owed for the hotel i booked as 36.00 and charged me 130.00. i spent 1 hour and 44 minutes on the phone with them just trying to find out why i was overcharged and to get a refund. i was transferred 5 times. the first rep said he couldnt do anything about it.,"{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 7}"
"he first rep said he couldnt do anything about it. i asked for a supervisor who escalated the concern and checked with their it department to finally admit that they charged me inaccurately due to a miscalculation in taxes by the system  94.00 more than i authorized. then they said theyd issue me a refund, but said the refund would be in miles and when converted back to dollar amounts it would be less money. what???","{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 7}"
"to dollar amounts it would be less money. what??? i will admit that the supervisor who explained to me how this would work was hard to understand xxxx xxxx was her name , but i couldnt understand how they overcharged me and then wont give me the full refund. however, the worst part was when xxxx transferred me again  the third time  to the credit card side and the rep was so rude it was absurd.","{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 7}"
"t card side and the rep was so rude it was absurd. she was the only one who did not give me her name  or if she did i didnt catch it, but i got all the other rep names . i was being polite  i expressed frustration  but was not rude  when she said that she was going to transfer me back to the travel rep for them to explain why i was getting the refund in miles and not a dollar amount.","{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 7}"
"tting the refund in miles and not a dollar amount. i said to her that id been on the phone for over an hour and didnt want to be transferred again, and she interrupted me and said  maam, this is the credit card department, not the trouble department . wow.","{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 4, ""total_chunks"": 7}"
"card department, not the trouble department . wow. i asked for her supervisor and she put me on hold for 12 minutes, did not do what the other reps did, which was come back on the line and explain that another rep from the other department was going to take over and then connect me, she just automatically transferred me, but not to a supervisor but back to the travel department.","{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 5, ""total_chunks"": 7}"
"to a supervisor but back to the travel department. im cancelling this card immediately after this fiasco is resolved, and despite all the frustration and amount of time it took to get anywhere, theyre losing a customer because of that rep who did not give me her name. im disgusted with her.","{""complaint_id"": 9, ""product"": ""Credit card"", ""chunk_index"": 6, ""total_chunks"": 7}"
"hello, so, unfortunately i had a trip scheduled for my fiance and i for xxxx xxxx xxxx but we couldnt go because on xxxxxxxx, my mother in law xxxx xxxx xxxx. we have since been residing in xxxx, ny taking care of her full time. i met the requirements for a full refund but xxxx xxxx denied me, so i filed a claim through my chase sapphire reserve travel protection insurance as i made the purchase with this credit card.","{""complaint_id"": 16, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 4}"
"ance as i made the purchase with this credit card. i provided a medical note proving my mother in law her xxxx xxxx xxxxxxxx from a fall and needed a care taker, the itinerary for the trip, proof of cancellation, proof of payment via bank statement, total itinerary expenses, the xxxx xxxx cancellation policy, trip information and everthihg else requested. i submitted this on xxxxxxxx, and was told to wait 710 business days.","{""complaint_id"": 16, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 4}"
"xxxxxxxx, and was told to wait 710 business days. it is now the xxxx business day, no adjuster has looked at my claim and i call chase 1 or 3 times a day to be given the run around about how its going to be looked at, the business days time frame keeps changing. this is horrible behavior from chase and i should not have to pay 550.00 in an annual fee for this card. 3 years with chase and this is what you get .","{""complaint_id"": 16, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 4}"
ard. 3 years with chase and this is what you get . .i just want my total compensation back which is almost 1500.00 for a trip i cant go on with travel protection that i pay for and insurance.,"{""complaint_id"": 16, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 4}"
i made a debt settlement on xxxx. associate asked me to pay xxxx every month for 3 months. i asked for a letter to show we had an agreement. associate told me they couldnt send it until i paid the first month. i paid 670.00 xxxx. the next month the payment was taken from my account. i called to stop last payment due to loss of employment. i was told by citibank there was no debt settlement. i informed them its fraud for the ach withdrawal of 670.00 in xxxxyear.,"{""complaint_id"": 128, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 3}"
"raud for the ach withdrawal of 670.00 in xxxxyear. the call was escalated and i was called back and told by a higher authority for citibank that it was reinstated and to keep it, i needed to make that last payment if 670.00 on xxxx xxxxyear. i was also told i would receive a statement. i have not all year. i asked more than once. i also asked if they could remove the reports on my credit for non payment. they said it would reverse.","{""complaint_id"": 128, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 3}"
"redit for non payment. they said it would reverse. xxxxxxxx i was told the debt settlement was removed and my account was in recovery, after seeing a debt charge off on my credit report from citibank. i was told it would be a dispute for the settlement made and i would receive info if accepted or not. i feel citibank did not honor their verbal agreement and without any agreement in writing cohersed me into making payments while still damaging my credit report.","{""complaint_id"": 128, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 3}"
"i am filing a formal dispute regarding a chargeoff account reported by the army  air force exchange service  aafes  that appears on my credit report. while i understand there may have been a past balance, i believe the information being reported is incomplete, potentially inaccurate, and unverifiable, and therefore in violation of the fair credit reporting act  fcra .","{""complaint_id"": 125, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 4}"
"violation of the fair credit reporting act  fcra . specifically, i dispute the accuracy and completeness of the following details  the balance amount and whether it reflects actual charges and credits the correct date of first delinquency, which affects how long it can remain on my credit report whether i was properly notified of the chargeoff status whether aafes can fully verify this debt in accordance with their obligations under federal law under the fcra  15 u.s.c.","{""complaint_id"": 125, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 4}"
"ations under federal law under the fcra  15 u.s.c. 1681i , i am requesting a reinvestigation of this item. if aafes is unable to fully validate all aspects of this chargeoff, including providing documentation that confirms its accuracy and legal status, it should be corrected or removed from my credit file. this chargeoff is having a serious negative impact on my credit and financial wellbeing.","{""complaint_id"": 125, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 4}"
ative impact on my credit and financial wellbeing. i respectfully ask the to investigate this matter and ensure that my rights under the fcra are fully enforced.,"{""complaint_id"": 125, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 4}"
"on xxxxyearxxxx at xxxx i received a notification of an invoice from xxxx xxxx tickets that were purchased. it was 2 tickets for xxxx xxxx at barclays center in xxxx, ny for 550.00. i knew immediately this was very wrong. i did not make any recent purchases on xxxx and i live in xxxx, or and have never been to new york. i am the only person with access to my account and my password is secure. i was not notified of any breach of data or suspicious activity within xxxx.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 10}"
"breach of data or suspicious activity within xxxx. i called xxxx immediately after receiving the email notification to alert them that the charge was fraudulent. after speaking to the representative, they let me know all they could do for now was open an investigation on their end. after getting off the phone, i changed my password to my xxxx account and went on to my barclay account, which is the credit card that was charged, and marked the transaction as fraudulent.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 10}"
"charged, and marked the transaction as fraudulent. the transaction was removed while they investigated the charge. on xxxxyear i was checking my account  i check my accounts almost daily  and noticed the charge was added back to my account. at this time, i didnt have any documents in my profile nor had i received any letters in the mail on an update with the investigation. i called barclay to find out why the charge was added back.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 10}"
"barclay to find out why the charge was added back. after some back and forth with the representative, i was told that because the email attached to the transaction matched the email they had on file, it was deemed as not fraudulent. it took them over 30 days to decide that it wasnt fraudulent based off the email.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 10}"
cide that it wasnt fraudulent based off the email. i asked if they even contacted the merchant  xxxx  directly as i had an open investigation with them as well and i was informed that they had not contacted the merchant and based their decision solely off the email. i requested it be reviewed again and that they contact the merchant directly.,"{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 4, ""total_chunks"": 10}"
"again and that they contact the merchant directly. i would also like to note that i mentioned to them that i had not received any formal documentation as of that phone call detailing the result of their investigation. after getting off the phone, i received a notification that a document was ready to review in my account. it was the official document of their decision and it was back dated one day making it seem like they sent it to me the day before. i have screenshots to prove this.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 5, ""total_chunks"": 10}"
"the day before. i have screenshots to prove this. the document is dated xxxxyear and i called on xxxxyear and did not have the document in my account prior to the phone call. the 550.00 charge was also not removed from my account for this second investigation that was opened. then, i called xxxx to get an update on their end. the representative notified me they had determined the transaction was in fact fraudulent and recommended i request barclay to contact them directly.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 6, ""total_chunks"": 10}"
"mended i request barclay to contact them directly. i requested, in writing via document or email, of the decision that xxxx had based on their investigation. after receiving that, i faxed the email via fax number provided by barclay on the previous phone call. i received a notification that it was sent successfully. i called barclay back right after to make sure they received the document and the representative let me know they had received it and would forward it to the investigator.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 7, ""total_chunks"": 10}"
"eived it and would forward it to the investigator. this past weekend  a little over a week since reopening the claim  i had received a notification that the claim was once again denied by barclay only this time it didnt include a reason but it made sure to mention that if i did not follow my payments on my account, disciplinary action would be taken and my credit would be affected.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 8, ""total_chunks"": 10}"
"on would be taken and my credit would be affected. i called them today to follow up and upon some back and forth with the representative, they confirmed that the investigator, once again, did not contact the merchant nor did they review the document and that they would be opening a third investigation. this is unacceptable.","{""complaint_id"": 139, ""product"": ""Credit card"", ""chunk_index"": 9, ""total_chunks"": 10}"
"i believe the account is invalid. radius global resolutions llc needs to verify under oath that this claim is valid, free from any claims and defenses including but not limited to any breach of agreement, failure of consideration, or material alterations, and that the original lender provided value. further, the alleged account was transferred in good faith and with the consent of all parties involved.","{""complaint_id"": 156, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 2}"
aith and with the consent of all parties involved. if they are unable to provide under oath the previously listed item then i require the account to be removed from my credit  their records. radius global resolutions llc xxxx,"{""complaint_id"": 156, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 2}"
"i took out a store card with synchrony bank at a xxxx xxxx retail store. at the time of purchase, the xxxx xxxx store associate took my information and qualified me for the card, signing me up for an optional  payment card security program without my permission or knowledge. this was not identified until recently when i was auditing my credit card accounts. synchrony bank has been charging me this fee and interest on the fee amount every month without my consent or knowledge for over 2 years.","{""complaint_id"": 18, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 4}"
"without my consent or knowledge for over 2 years. when i contacted synchrony bank, they advised that it was something i signed up for when i took the card out and they could only refund up to 12 months of charges because i didnt cancel within the 90day deadline. i was never provided any disclosure paperwork from the retail store or synchrony bank this benefit , as i would never have signed up for something like this.","{""complaint_id"": 18, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 4}"
"ould never have signed up for something like this. i have submitted an escalation with synchrony bank to contest their decision to only refund 12 months worth of fees and am waiting on their final decision. this is a clear case of predatory lending practices, designed to trap consumers making purchases in retail stores.","{""complaint_id"": 18, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 4}"
"trap consumers making purchases in retail stores. the retail store associates are not trained bankers who understand the legal implications of not providing required disclosures or signing someone up for something they didnt agree to. in this case, we have been charged hundreds of dollars in fees for a service we never agreed to. this is theft plain and simple.","{""complaint_id"": 18, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 4}"
the us bank decided to close all my accounts and most importantly my altitude reserve credit card without notice. i was doing the usual grocery shopping from a store that i occasionally shop at using this card but the card kept getting declined. so i called the credit card customer support number and they told me the card is closed! i was surprised because i have not got any notice or notification for that.,"{""complaint_id"": 161, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 4}"
have not got any notice or notification for that. i know i got few letters few weeks ago about cancelling my other checking accounts by xxxx for no reason but never received any notice or warning about my credit card.,"{""complaint_id"": 161, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 4}"
"ceived any notice or warning about my credit card. i asked the agent over the phone this makes no sense because i paid the annual fee of 400.00 just a few months ago but she couldnt address me concerns, so she transferred me to another department and the new agent said she can not help in anything and that the us bank decided to end the relationship completely.","{""complaint_id"": 161, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 4}"
s bank decided to end the relationship completely. i asked for a supervisor and also the supervisor was useless as she said they dont have a mechanism to refund me the annual fee or the points back. the credit card account had at least xxxx points. yes over xxxx points that i can not access anymore plus the card itself can not purchase anything.,"{""complaint_id"": 161, ""product"": ""Credit card"", ""chunk_index"": 3, ""total_chunks"": 4}"
i am legally xxxx but my card was charged for a car rental on xxxx2025 but i was never at the rental place on xxxx xxxx. i disputed several times but it was never resolved. i have even sent over proof of legal blindness from xxxx xxxx xxxx xxxx xxxx but they will not reverse the charge. i am xxxx and my card was stolen and used but i did not authorize a 2900.00 that was charged to my xxxx credit card. respectfully xxxx xxxx tel xxxx,"{""complaint_id"": 112, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 1}"
"i was tricked into buying xxxx xxxx software and it showed up on my xxxx xxxx xxxx citi mastercard on xxxxyear, a charge of 100.00. i could not get in touch with xxxx so i disputed the charge with mastercard and after two months, they denied it. i then was persistent in contacting xxxx and the time had expired to even cancel the subscription. i thought i could simply dispute this charge and i trusted mastercard to trust my dispute.","{""complaint_id"": 181, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 2}"
"arge and i trusted mastercard to trust my dispute. i have since cancelled my account with mastercard, but i am still out 100.00. i do not use xxxx xxxx and do not even know how to use it. i am xxxx xxxx xxxx and i should not have to deal with things like this. please help. regards, xxxx xxxx","{""complaint_id"": 181, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 2}"
"i opened a citi aadvantage credit card on xxxxyear, with the understanding that i needed to spend 3500.00 in 4 months to qualify for the signup bonus. i used the card to pay 1800.00 total in taxes through an irsauthorized provider  xxxx , assuming this transaction would count toward the minimum spending requirement.","{""complaint_id"": 155, ""product"": ""Credit card"", ""chunk_index"": 0, ""total_chunks"": 3}"
"uld count toward the minimum spending requirement. after the transaction, i contacted citi to confirm the spending qualification and was told by their representative that tax payments do not countand they also acknowledged there is no documentation or official policy statement supporting this exclusion  chat history attached . i was informed of this only after the charge was made, which is misleading and unfair. i would not have used this card for the payment if i had known it wouldnt count.","{""complaint_id"": 155, ""product"": ""Credit card"", ""chunk_index"": 1, ""total_chunks"": 3}"
d for the payment if i had known it wouldnt count. i believe this is a deceptive practice. credit card issuers must be transparent about what does and does not qualify for bonus spending thresholds. a representative telling me theres no documentation for the exclusion further underscores the lack of transparency.,"{""complaint_id"": 155, ""product"": ""Credit card"", ""chunk_index"": 2, ""total_chunks"": 3}"
